dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby,lastupdated,comment,followup,deleted
TsZLukacJ6T,2015,YIA7WLCOZd4,sJUGNYho7Ey,HllvX50cXC0,25,fegati,2019-04-29T03:00:02.000+0000,,false
TsZLukacJ6T,2015,YIA7WLCOZd4,SOw3NHN47G7,HllvX50cXC0,40,fegati,2019-04-29T03:00:02.000+0000,,false
TsZLukacJ6T,2015,YIA7WLCOZd4,sLKRSW7xmwp,HllvX50cXC0,35,fegati,2019-04-29T03:00:02.000+0000,,false
TsZLukacJ6T,2015,YIA7WLCOZd4,ssMY53iFjYm,HllvX50cXC0,20,fegati,2019-04-29T03:00:02.000+0000,,false
TsZLukacJ6T,2015,YIA7WLCOZd4,iEgy3xKqVi5,HllvX50cXC0,30,fegati,2019-04-29T03:00:02.000+0000,,false
TsZLukacJ6T,2015,YIA7WLCOZd4,r8hBd63qzn4,HllvX50cXC0,30,fegati,2019-04-29T03:00:02.000+0000,,false
pTOpNf6zkTv,2015,YIA7WLCOZd4,ssMY53iFjYm,HllvX50cXC0,12,fegati,2019-04-29T03:00:02.000+0000,,false
pTOpNf6zkTv,2015,YIA7WLCOZd4,sLKRSW7xmwp,HllvX50cXC0,12,fegati,2019-04-29T03:00:02.000+0000,,false
pTOpNf6zkTv,2015,YIA7WLCOZd4,iEgy3xKqVi5,HllvX50cXC0,15,fegati,2019-04-29T03:00:02.000+0000,,false
pTOpNf6zkTv,2015,YIA7WLCOZd4,sJUGNYho7Ey,HllvX50cXC0,10,fegati,2019-04-29T03:00:02.000+0000,,false
pTOpNf6zkTv,2015,YIA7WLCOZd4,r8hBd63qzn4,HllvX50cXC0,20,fegati,2019-04-29T03:00:02.000+0000,,false
pTOpNf6zkTv,2015,YIA7WLCOZd4,bJmK5mlfvQk,HllvX50cXC0,228753,fegati,2019-04-29T03:00:02.000+0000,,false
pTOpNf6zkTv,2015,YIA7WLCOZd4,SOw3NHN47G7,HllvX50cXC0,10,fegati,2019-04-29T03:00:02.000+0000,,false
wD1WS24kqQR,2015,YIA7WLCOZd4,iEgy3xKqVi5,HllvX50cXC0,10,fegati,2019-04-29T03:00:02.000+0000,,false
wD1WS24kqQR,2015,YIA7WLCOZd4,sLKRSW7xmwp,HllvX50cXC0,17,fegati,2019-04-29T03:00:02.000+0000,,false
wD1WS24kqQR,2015,YIA7WLCOZd4,r8hBd63qzn4,HllvX50cXC0,20,fegati,2019-04-29T03:00:02.000+0000,,false
wD1WS24kqQR,2015,YIA7WLCOZd4,sJUGNYho7Ey,HllvX50cXC0,13,fegati,2019-04-29T03:00:02.000+0000,,false
mEtKA2HMRkT,2015,YIA7WLCOZd4,sLKRSW7xmwp,HllvX50cXC0,35,fegati,2019-04-29T03:00:02.000+0000,,false
mEtKA2HMRkT,2015,YIA7WLCOZd4,r8hBd63qzn4,HllvX50cXC0,12,fegati,2019-04-29T03:00:02.000+0000,,false
